Date:  22:54; «·≈À‰Ì‰; œÌ”„»— 20; 2021
Model name: Assem1
Study name: Thermal 1(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ;Value (Celsius)  ;X (mm)  ;Y (mm)  ;Z (mm)  ;Components
4244  ;30.9  ;760.86956787  ;-0.00000000  ;125.00000000  ;pin fin-2
6442  ;30.9  ;771.73913574  ;-0.00000000  ;125.00000000  ;pin fin-2
4245  ;30.8  ;782.60870361  ;-0.00000000  ;125.00000000  ;pin fin-2
6434  ;30.8  ;793.47827148  ;-0.00000000  ;125.00000000  ;pin fin-2
4246  ;30.8  ;804.34783936  ;-0.00000000  ;125.00000000  ;pin fin-2
6427  ;30.7  ;815.21734619  ;-0.00000000  ;125.00000000  ;pin fin-2
4247  ;30.7  ;826.08691406  ;-0.00000000  ;125.00000000  ;pin fin-2
6418  ;30.7  ;836.95648193  ;-0.00000000  ;125.00000000  ;pin fin-2
4248  ;30.6  ;847.82604980  ;-0.00000000  ;125.00000000  ;pin fin-2
6410  ;30.6  ;858.69561768  ;-0.00000000  ;125.00000000  ;pin fin-2
4249  ;30.6  ;869.56518555  ;-0.00000000  ;125.00000000  ;pin fin-2
6402  ;30.6  ;880.43475342  ;-0.00000000  ;125.00000000  ;pin fin-2
4250  ;30.6  ;891.30438232  ;-0.00000000  ;125.00000000  ;pin fin-2
6395  ;30.5  ;902.17395020  ;-0.00000000  ;125.00000000  ;pin fin-2
4251  ;30.5  ;913.04351807  ;-0.00000000  ;125.00000000  ;pin fin-2
6388  ;30.5  ;923.91308594  ;-0.00000000  ;125.00000000  ;pin fin-2
4252  ;30.5  ;934.78265381  ;-0.00000000  ;125.00000000  ;pin fin-2
6380  ;30.5  ;945.65216064  ;-0.00000000  ;125.00000000  ;pin fin-2
4253  ;30.5  ;956.52172852  ;-0.00000000  ;125.00000000  ;pin fin-2
6373  ;30.5  ;967.39129639  ;-0.00000000  ;125.00000000  ;pin fin-2
4254  ;30.5  ;978.26086426  ;-0.00000000  ;125.00000000  ;pin fin-2
7099  ;30.5  ;989.13043213  ;-0.00000000  ;125.00000000  ;pin fin-2
4159  ;30.5  ;1000.00000000  ;-0.00000000  ;125.00000000  ;pin fin-2
