Date:  22:54; «·≈À‰Ì‰; œÌ”„»— 20; 2021
Model name: Assem1
Study name: Thermal 1(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ;Value (Celsius)  ;X (mm)  ;Y (mm)  ;Z (mm)  ;Components
4209  ;60.4  ;0.00000000  ;-0.00000000  ;125.00000000  ;pin fin-2
6721  ;59.9  ;10.86956215  ;-0.00000000  ;125.00000000  ;pin fin-2
4210  ;59.5  ;21.73913002  ;-0.00000000  ;125.00000000  ;pin fin-2
6715  ;57.7  ;32.60868835  ;-0.00000000  ;125.00000000  ;pin fin-2
4211  ;56  ;43.47826004  ;-0.00000000  ;125.00000000  ;pin fin-2
6706  ;54.7  ;54.34781265  ;-0.00000000  ;125.00000000  ;pin fin-2
4212  ;53.4  ;65.21739197  ;-0.00000000  ;125.00000000  ;pin fin-2
6699  ;52.3  ;76.08693695  ;-0.00000000  ;125.00000000  ;pin fin-2
4213  ;51.1  ;86.95652008  ;-0.00000000  ;125.00000000  ;pin fin-2
6691  ;50.1  ;97.82606506  ;-0.00000000  ;125.00000000  ;pin fin-2
4214  ;49.1  ;108.69564819  ;-0.00000000  ;125.00000000  ;pin fin-2
6681  ;48.2  ;119.56518555  ;-0.00000000  ;125.00000000  ;pin fin-2
4215  ;47.2  ;130.43478394  ;-0.00000000  ;125.00000000  ;pin fin-2
6672  ;46.4  ;141.30436707  ;-0.00000000  ;125.00000000  ;pin fin-2
4216  ;45.6  ;152.17390442  ;-0.00000000  ;125.00000000  ;pin fin-2
6664  ;44.8  ;163.04350281  ;-0.00000000  ;125.00000000  ;pin fin-2
4217  ;44.1  ;173.91304016  ;-0.00000000  ;125.00000000  ;pin fin-2
6654  ;43.4  ;184.78262329  ;-0.00000000  ;125.00000000  ;pin fin-2
4218  ;42.7  ;195.65217590  ;-0.00000000  ;125.00000000  ;pin fin-2
6646  ;42.1  ;206.52174377  ;-0.00000000  ;125.00000000  ;pin fin-2
4219  ;41.5  ;217.39129639  ;-0.00000000  ;125.00000000  ;pin fin-2
6638  ;40.9  ;228.26087952  ;-0.00000000  ;125.00000000  ;pin fin-2
4220  ;40.3  ;239.13043213  ;-0.00000000  ;125.00000000  ;pin fin-2
6632  ;39.8  ;250.00000000  ;-0.00000000  ;125.00000000  ;pin fin-2
4221  ;39.3  ;260.86956787  ;-0.00000000  ;125.00000000  ;pin fin-2
6624  ;38.9  ;271.73913574  ;-0.00000000  ;125.00000000  ;pin fin-2
4222  ;38.4  ;282.60867310  ;-0.00000000  ;125.00000000  ;pin fin-2
6616  ;38  ;293.47824097  ;-0.00000000  ;125.00000000  ;pin fin-2
4223  ;37.6  ;304.34780884  ;-0.00000000  ;125.00000000  ;pin fin-2
6609  ;37.2  ;315.21737671  ;-0.00000000  ;125.00000000  ;pin fin-2
4224  ;36.9  ;326.08697510  ;-0.00000000  ;125.00000000  ;pin fin-2
6602  ;36.5  ;336.95651245  ;-0.00000000  ;125.00000000  ;pin fin-2
4225  ;36.2  ;347.82608032  ;-0.00000000  ;125.00000000  ;pin fin-2
6594  ;35.9  ;358.69561768  ;-0.00000000  ;125.00000000  ;pin fin-2
4226  ;35.6  ;369.56521606  ;-0.00000000  ;125.00000000  ;pin fin-2
6587  ;35.3  ;380.43481445  ;-0.00000000  ;125.00000000  ;pin fin-2
4227  ;35  ;391.30435181  ;-0.00000000  ;125.00000000  ;pin fin-2
6580  ;34.8  ;402.17395020  ;-0.00000000  ;125.00000000  ;pin fin-2
4228  ;34.6  ;413.04345703  ;-0.00000000  ;125.00000000  ;pin fin-2
6571  ;34.3  ;423.91305542  ;-0.00000000  ;125.00000000  ;pin fin-2
4229  ;34.1  ;434.78259277  ;-0.00000000  ;125.00000000  ;pin fin-2
6564  ;33.9  ;445.65219116  ;-0.00000000  ;125.00000000  ;pin fin-2
4230  ;33.7  ;456.52175903  ;-0.00000000  ;125.00000000  ;pin fin-2
6557  ;33.5  ;467.39132690  ;-0.00000000  ;125.00000000  ;pin fin-2
4231  ;33.3  ;478.26086426  ;-0.00000000  ;125.00000000  ;pin fin-2
6550  ;33.2  ;489.13043213  ;-0.00000000  ;125.00000000  ;pin fin-2
4232  ;33  ;500.00000000  ;-0.00000000  ;125.00000000  ;pin fin-2
6542  ;32.9  ;510.86956787  ;-0.00000000  ;125.00000000  ;pin fin-2
4233  ;32.7  ;521.73913574  ;-0.00000000  ;125.00000000  ;pin fin-2
6533  ;32.6  ;532.60870361  ;-0.00000000  ;125.00000000  ;pin fin-2
4234  ;32.5  ;543.47827148  ;-0.00000000  ;125.00000000  ;pin fin-2
6526  ;32.3  ;554.34783936  ;-0.00000000  ;125.00000000  ;pin fin-2
4235  ;32.2  ;565.21734619  ;-0.00000000  ;125.00000000  ;pin fin-2
6518  ;32.1  ;576.08697510  ;-0.00000000  ;125.00000000  ;pin fin-2
4236  ;32  ;586.95648193  ;-0.00000000  ;125.00000000  ;pin fin-2
6510  ;31.9  ;597.82611084  ;-0.00000000  ;125.00000000  ;pin fin-2
4237  ;31.8  ;608.69561768  ;-0.00000000  ;125.00000000  ;pin fin-2
6502  ;31.7  ;619.56524658  ;-0.00000000  ;125.00000000  ;pin fin-2
4238  ;31.6  ;630.43481445  ;-0.00000000  ;125.00000000  ;pin fin-2
6494  ;31.5  ;641.30438232  ;-0.00000000  ;125.00000000  ;pin fin-2
4239  ;31.5  ;652.17395020  ;-0.00000000  ;125.00000000  ;pin fin-2
6486  ;31.4  ;663.04351807  ;-0.00000000  ;125.00000000  ;pin fin-2
4240  ;31.3  ;673.91308594  ;-0.00000000  ;125.00000000  ;pin fin-2
6478  ;31.3  ;684.78265381  ;-0.00000000  ;125.00000000  ;pin fin-2
4241  ;31.2  ;695.65216064  ;-0.00000000  ;125.00000000  ;pin fin-2
6469  ;31.1  ;706.52172852  ;-0.00000000  ;125.00000000  ;pin fin-2
4242  ;31.1  ;717.39129639  ;-0.00000000  ;125.00000000  ;pin fin-2
6461  ;31  ;728.26086426  ;-0.00000000  ;125.00000000  ;pin fin-2
4243  ;31  ;739.13043213  ;-0.00000000  ;125.00000000  ;pin fin-2
6451  ;30.9  ;750.00000000  ;-0.00000000  ;125.00000000  ;pin fin-2
