Date:  22:56; «·≈À‰Ì‰; œÌ”„»— 20; 2021
Model name: Assem1
Study name: Thermal 1(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ;Value (Celsius)  ;X (mm)  ;Y (mm)  ;Z (mm)  ;Components
13145  ;66.2  ;0.00000000  ;-0.00000000  ;-175.00000000  ;pin fin-5
15531  ;65.9  ;10.86956215  ;-0.00000000  ;-175.00000000  ;pin fin-5
13146  ;65.6  ;21.73913002  ;-0.00000000  ;-175.00000000  ;pin fin-5
15525  ;63  ;32.60868835  ;-0.00000000  ;-175.00000000  ;pin fin-5
13147  ;60.4  ;43.47826004  ;-0.00000000  ;-175.00000000  ;pin fin-5
15515  ;58.1  ;54.34781265  ;-0.00000000  ;-175.00000000  ;pin fin-5
13148  ;55.9  ;65.21739197  ;-0.00000000  ;-175.00000000  ;pin fin-5
15507  ;54  ;76.08693695  ;-0.00000000  ;-175.00000000  ;pin fin-5
13149  ;52  ;86.95652008  ;-0.00000000  ;-175.00000000  ;pin fin-5
15498  ;50.4  ;97.82606506  ;-0.00000000  ;-175.00000000  ;pin fin-5
13150  ;48.7  ;108.69564819  ;-0.00000000  ;-175.00000000  ;pin fin-5
15490  ;47.3  ;119.56518555  ;-0.00000000  ;-175.00000000  ;pin fin-5
13151  ;45.9  ;130.43478394  ;-0.00000000  ;-175.00000000  ;pin fin-5
15482  ;44.7  ;141.30436707  ;-0.00000000  ;-175.00000000  ;pin fin-5
13152  ;43.5  ;152.17390442  ;-0.00000000  ;-175.00000000  ;pin fin-5
15474  ;42.5  ;163.04350281  ;-0.00000000  ;-175.00000000  ;pin fin-5
13153  ;41.5  ;173.91304016  ;-0.00000000  ;-175.00000000  ;pin fin-5
15466  ;40.6  ;184.78262329  ;-0.00000000  ;-175.00000000  ;pin fin-5
13154  ;39.8  ;195.65217590  ;-0.00000000  ;-175.00000000  ;pin fin-5
15459  ;39  ;206.52174377  ;-0.00000000  ;-175.00000000  ;pin fin-5
13155  ;38.3  ;217.39129639  ;-0.00000000  ;-175.00000000  ;pin fin-5
15452  ;37.7  ;228.26087952  ;-0.00000000  ;-175.00000000  ;pin fin-5
13156  ;37  ;239.13043213  ;-0.00000000  ;-175.00000000  ;pin fin-5
15445  ;36.5  ;250.00000000  ;-0.00000000  ;-175.00000000  ;pin fin-5
13157  ;36  ;260.86956787  ;-0.00000000  ;-175.00000000  ;pin fin-5
15438  ;35.5  ;271.73913574  ;-0.00000000  ;-175.00000000  ;pin fin-5
13158  ;35.1  ;282.60867310  ;-0.00000000  ;-175.00000000  ;pin fin-5
15431  ;34.7  ;293.47824097  ;-0.00000000  ;-175.00000000  ;pin fin-5
13159  ;34.3  ;304.34780884  ;-0.00000000  ;-175.00000000  ;pin fin-5
