Date:  22:55; «·≈À‰Ì‰; œÌ”„»— 20; 2021
Model name: Assem1
Study name: Thermal 1(-Default-)
Plot type: Thermal Thermal1
Time step: 1
Result Type: Temp 


Node  ;Value (Celsius)  ;X (mm)  ;Y (mm)  ;Z (mm)  ;Components
7151  ;54.7  ;0.00000000  ;0.00000000  ;25.00000000  ;pin fin-3
9606  ;54.4  ;10.86956215  ;0.00000000  ;25.00000000  ;pin fin-3
7152  ;54.1  ;21.73913002  ;0.00000000  ;25.00000000  ;pin fin-3
9600  ;53.4  ;32.60868835  ;0.00000000  ;25.00000000  ;pin fin-3
7153  ;52.6  ;43.47826004  ;0.00000000  ;25.00000000  ;pin fin-3
9593  ;52  ;54.34781265  ;0.00000000  ;25.00000000  ;pin fin-3
7154  ;51.4  ;65.21739197  ;0.00000000  ;25.00000000  ;pin fin-3
9584  ;50.9  ;76.08693695  ;0.00000000  ;25.00000000  ;pin fin-3
7155  ;50.3  ;86.95652008  ;0.00000000  ;25.00000000  ;pin fin-3
9576  ;49.8  ;97.82606506  ;0.00000000  ;25.00000000  ;pin fin-3
7156  ;49.3  ;108.69564819  ;0.00000000  ;25.00000000  ;pin fin-3
9569  ;48.8  ;119.56518555  ;0.00000000  ;25.00000000  ;pin fin-3
7157  ;48.3  ;130.43478394  ;0.00000000  ;25.00000000  ;pin fin-3
9562  ;47.8  ;141.30436707  ;0.00000000  ;25.00000000  ;pin fin-3
7158  ;47.3  ;152.17390442  ;0.00000000  ;25.00000000  ;pin fin-3
9555  ;46.9  ;163.04350281  ;0.00000000  ;25.00000000  ;pin fin-3
7159  ;46.5  ;173.91304016  ;0.00000000  ;25.00000000  ;pin fin-3
9548  ;46  ;184.78262329  ;0.00000000  ;25.00000000  ;pin fin-3
7160  ;45.6  ;195.65217590  ;0.00000000  ;25.00000000  ;pin fin-3
9541  ;45.2  ;206.52174377  ;0.00000000  ;25.00000000  ;pin fin-3
7161  ;44.8  ;217.39129639  ;0.00000000  ;25.00000000  ;pin fin-3
9534  ;44.4  ;228.26087952  ;0.00000000  ;25.00000000  ;pin fin-3
7162  ;44.1  ;239.13043213  ;0.00000000  ;25.00000000  ;pin fin-3
9527  ;43.7  ;250.00000000  ;0.00000000  ;25.00000000  ;pin fin-3
7163  ;43.3  ;260.86956787  ;0.00000000  ;25.00000000  ;pin fin-3
9520  ;43  ;271.73913574  ;0.00000000  ;25.00000000  ;pin fin-3
7164  ;42.7  ;282.60867310  ;0.00000000  ;25.00000000  ;pin fin-3
9513  ;42.4  ;293.47824097  ;0.00000000  ;25.00000000  ;pin fin-3
7165  ;42  ;304.34780884  ;0.00000000  ;25.00000000  ;pin fin-3
9506  ;41.7  ;315.21737671  ;0.00000000  ;25.00000000  ;pin fin-3
7166  ;41.4  ;326.08697510  ;0.00000000  ;25.00000000  ;pin fin-3
9499  ;41.2  ;336.95651245  ;0.00000000  ;25.00000000  ;pin fin-3
7167  ;40.9  ;347.82608032  ;0.00000000  ;25.00000000  ;pin fin-3
9492  ;40.6  ;358.69561768  ;0.00000000  ;25.00000000  ;pin fin-3
7168  ;40.3  ;369.56521606  ;0.00000000  ;25.00000000  ;pin fin-3
9484  ;40.1  ;380.43481445  ;0.00000000  ;25.00000000  ;pin fin-3
7169  ;39.8  ;391.30435181  ;0.00000000  ;25.00000000  ;pin fin-3
9477  ;39.6  ;402.17395020  ;0.00000000  ;25.00000000  ;pin fin-3
7170  ;39.4  ;413.04345703  ;0.00000000  ;25.00000000  ;pin fin-3
9470  ;39.1  ;423.91305542  ;0.00000000  ;25.00000000  ;pin fin-3
7171  ;38.9  ;434.78259277  ;0.00000000  ;25.00000000  ;pin fin-3
9463  ;38.7  ;445.65219116  ;0.00000000  ;25.00000000  ;pin fin-3
7172  ;38.5  ;456.52175903  ;0.00000000  ;25.00000000  ;pin fin-3
9456  ;38.3  ;467.39132690  ;0.00000000  ;25.00000000  ;pin fin-3
7173  ;38.1  ;478.26086426  ;0.00000000  ;25.00000000  ;pin fin-3
9449  ;37.9  ;489.13043213  ;0.00000000  ;25.00000000  ;pin fin-3
7174  ;37.7  ;500.00000000  ;0.00000000  ;25.00000000  ;pin fin-3
9442  ;37.6  ;510.86956787  ;0.00000000  ;25.00000000  ;pin fin-3
7175  ;37.4  ;521.73913574  ;0.00000000  ;25.00000000  ;pin fin-3
9435  ;37.2  ;532.60870361  ;0.00000000  ;25.00000000  ;pin fin-3
7176  ;37.1  ;543.47827148  ;0.00000000  ;25.00000000  ;pin fin-3
9427  ;36.9  ;554.34783936  ;0.00000000  ;25.00000000  ;pin fin-3
7177  ;36.7  ;565.21734619  ;0.00000000  ;25.00000000  ;pin fin-3
9419  ;36.6  ;576.08697510  ;0.00000000  ;25.00000000  ;pin fin-3
7178  ;36.5  ;586.95648193  ;0.00000000  ;25.00000000  ;pin fin-3
9411  ;36.3  ;597.82611084  ;0.00000000  ;25.00000000  ;pin fin-3
7179  ;36.2  ;608.69561768  ;0.00000000  ;25.00000000  ;pin fin-3
9402  ;36.1  ;619.56524658  ;0.00000000  ;25.00000000  ;pin fin-3
7180  ;35.9  ;630.43481445  ;0.00000000  ;25.00000000  ;pin fin-3
9392  ;35.8  ;641.30438232  ;0.00000000  ;25.00000000  ;pin fin-3
7181  ;35.7  ;652.17395020  ;0.00000000  ;25.00000000  ;pin fin-3
9384  ;35.6  ;663.04351807  ;0.00000000  ;25.00000000  ;pin fin-3
7182  ;35.5  ;673.91308594  ;0.00000000  ;25.00000000  ;pin fin-3
9376  ;35.4  ;684.78265381  ;0.00000000  ;25.00000000  ;pin fin-3
7183  ;35.3  ;695.65216064  ;0.00000000  ;25.00000000  ;pin fin-3
9369  ;35.2  ;706.52172852  ;0.00000000  ;25.00000000  ;pin fin-3
7184  ;35.1  ;717.39129639  ;0.00000000  ;25.00000000  ;pin fin-3
9362  ;35  ;728.26086426  ;0.00000000  ;25.00000000  ;pin fin-3
7185  ;34.9  ;739.13043213  ;0.00000000  ;25.00000000  ;pin fin-3
9354  ;34.9  ;750.00000000  ;0.00000000  ;25.00000000  ;pin fin-3
7186  ;34.8  ;760.86956787  ;0.00000000  ;25.00000000  ;pin fin-3
9346  ;34.7  ;771.73913574  ;0.00000000  ;25.00000000  ;pin fin-3
7187  ;34.7  ;782.60870361  ;0.00000000  ;25.00000000  ;pin fin-3
9339  ;34.6  ;793.47827148  ;0.00000000  ;25.00000000  ;pin fin-3
7188  ;34.5  ;804.34783936  ;0.00000000  ;25.00000000  ;pin fin-3
9331  ;34.5  ;815.21734619  ;0.00000000  ;25.00000000  ;pin fin-3
7189  ;34.4  ;826.08691406  ;0.00000000  ;25.00000000  ;pin fin-3
9323  ;34.4  ;836.95648193  ;0.00000000  ;25.00000000  ;pin fin-3
7190  ;34.3  ;847.82604980  ;0.00000000  ;25.00000000  ;pin fin-3
9315  ;34.3  ;858.69561768  ;0.00000000  ;25.00000000  ;pin fin-3
7191  ;34.2  ;869.56518555  ;0.00000000  ;25.00000000  ;pin fin-3
9308  ;34.2  ;880.43475342  ;0.00000000  ;25.00000000  ;pin fin-3
7192  ;34.2  ;891.30438232  ;0.00000000  ;25.00000000  ;pin fin-3
9300  ;34.1  ;902.17395020  ;0.00000000  ;25.00000000  ;pin fin-3
7193  ;34.1  ;913.04351807  ;0.00000000  ;25.00000000  ;pin fin-3
9293  ;34.1  ;923.91308594  ;0.00000000  ;25.00000000  ;pin fin-3
7194  ;34  ;934.78265381  ;0.00000000  ;25.00000000  ;pin fin-3
9286  ;34  ;945.65216064  ;0.00000000  ;25.00000000  ;pin fin-3
7195  ;34  ;956.52172852  ;0.00000000  ;25.00000000  ;pin fin-3
9278  ;34  ;967.39129639  ;0.00000000  ;25.00000000  ;pin fin-3
7196  ;34  ;978.26086426  ;0.00000000  ;25.00000000  ;pin fin-3
9986  ;34  ;989.13043213  ;0.00000000  ;25.00000000  ;pin fin-3
7101  ;34  ;1000.00000000  ;0.00000000  ;25.00000000  ;pin fin-3
